DSS No.,Asset development stages,Leading practice area,Leading practice activity,Context,Decision(s),Rationale,Information requirements,Technical and process considerations,Related ARD/ML leading practices areas/activities,Useful GARD Guide resources,Figure 1,Figure 2,Figure 3,Content
1,Exploration,ARD/ML Governance and Strategy,Define ARD/ML Governance and Strategy at Corporate Level,,,,,,,,,,,N
2,Exploration,"ARD/ML Objectives, Standards, and KPIs","Set ARD/ML Objectives, Standards, and KPIs at Asset Level",,,,,,,,,,,N
3,Exploration,Develop and refine ARD/ML management plan,Characterisation,"Geochemical characterisation programs are designed to collect sufficient data to answer:
(1) Is ARD/ML likely to occur and what are the potential sources?
(2) What type of drainage chemistry is expected?
(3) When is ARD/ML likely to start and how much will be generated?
(4) What are the significant pathways that transport contaminants to the receiving environment and can those contaminants be attenuated along those pathways?
(5) What are the anticipated environmental impacts?
(6) What can be done to prevent or mitigate/manage ARD/ML?

Figure 4-1 (GARD Guide) provides a characterisation road map. 

For this asset development stage, leading practice focuses on question 1 “Is ARD/ML likely to occur?” Geochemical characterisation activities aim to identify potential ARD/ML risks. Characterisation activities for ARD/ML usually piggyback on exploration sampling and assaying activities (which focus on resource delineation) and can include:
(1) Review of existing geological information or information from analogue sites or geoenvironmental models for similar ore types
(2) Inclusion of ARD/ML diagnostic parameters such as total sulphur and inorganic carbon in exploration assays",(1) Should ARD/ML risks be assessed and how?,"Early identification of potential ARD/ML risks associated with a potential ore deposit allows for informed consideration of ARD/ML risks in asset development and early economic evaluation, and the development of informed objectives for the asset. Data obtained during the exploration stage provide opportunities to refine and focus subsequent sampling campaigns for geochemical characterisation.","(1) Available geological information on ore body including: (a) geological (conceptual) model of ore deposit, (b) ore genesis and host rock controls, (c) mineralogy of ore and host rock, and (d) information from analogue sites or geoenvironmental models for similar ore deposits
(2) Exploration sampling and analyses plan
(3) List of assay parameters","(1) Available data (geology, analogue sites, geo-environmental models) help determine the potential for sulphide minerals to be present in either the ore or host rock. 
(2) Aim to include total sulphur and total inorganic carbon in the assay suite. Statistically describe total sulphur and inorganic carbon results for ore and host rock (comparison of parameters is indicative of ARD potential) and evaluate spatial distribution using resource delineation software.
(3) Comparison of metals assay data to average crustal abundances can indicate elements of potential environmental concern due to metal leaching.
(4) Should ARD/ML risks be identified, they should be documented as a basis for a future ARD/ML management plan. The document should comprise the ARD/ML data, analyses, and identification of risks.
(5) Data and information on ARD/ML risks developed during then exploration stage are used to define and focus sampling campaigns for geochemical characterisation programs during later asset development stages.","(1) ARD/ML governance and strategy → Define ARD/ML governance and strategy at corporate level
(2) ARD/ML objectives, standards, and KPIs → Set ARD/ML objectives, standards, and KPIs at asset level
(3) Develop and refine ARD/ML management plan → Characterisation","(1) Chapter 4: Defining the Problem - Characterisation
(2) Chapter 4, Figure 4-1: Characterisation Chapter Road Map
(3) Chapter 4, Table 4-4: Geological Characteristics of Mineral Deposits that Affect Their Environmental Signatures
(4) Chapter 5, Section 5.4.4: Introduction to Geochemical Characterisation
(5) Chapter 5, Section 5.4.10: Net Acid or ARD Potential",Picture,Picture,No figure,Y
4,Exploration,Develop and refine ARD/ML management plan,Prediction,"In rare cases, prediction of water quality and potential impacts related to exploration activities (eg on-site disposal of drilling mud) is required by regulatory authorities, but water quality prediction typically does not take place during the exploration stage.",Prediction typically does not take place during the exploration stage.,Prediction typically does not take place during the exploration stage.,Prediction typically does not take place during the exploration stage.,Prediction typically does not take place during the exploration stage.,"(1) Develop and refine ARD/ML management plan → All leading practice activities
(2) Develop and refine ARD/ML management plan → Development and integration with mine, water, waste, and closure plans
(3) Monitor and assess performance → Transparency in data management and reporting","(1) Chapter 4: Defining the Problem - Characterisation
(2) Chapter 5: Prediction
(3) Chapter 5, Figure 5-1: Generic Prediction Program Flowchart
(4) Chapter 5, Section 5.3.3: Water Quality Prediction
(5) Chapter 11: Sustainable Mine Closure ",No figure,No figure,No figure,Y
5,Exploration,Develop and refine ARD/ML management plan,"Prevention, Mitigation, and Treatment","Leading practices are required to manage the residual materials from exploration (eg cuttings, drilling mud, rock from advanced exploration excavations) in such a manner that impacts to the environment are prevented.",(1) Are ARD/ML risks associated with exploration activities identified?,"While a detailed ARD/ML management plan is not developed during exploration, early geochemical characterisation results collected are used to inform potential mitigation measures for materials generated during this asset development stage.","(1) Characteristics of materials involved with and generated by drilling
(2) Characteristics of materials generated during exploration activities ","During exploration, early assay results are used to indicate potential for ARD/ML. The results are documented as a basis for a future ARD/ML management plan and are used to inform management practices for materials generated during exploration activities.","(1) Develop and refine ARD/ML management plan → Characterisation
(2) Develop and refine ARD/ML management plan → Prediction","(1) Chapter 4: Defining the Problem - Characterisation
(2) Chapter 4, Table 4-4: Geological Characteristics of Mineral Deposits that Affect Their Environmental Signatures",Picture,No figure,No figure,Y
6,Exploration,Develop and refine ARD/ML management plan,Monitoring Program Plan,"In some cases, monitoring of water quality associated with exploration activities is required per company and/or regulatory guidelines. Baseline monitoring may also be conducted during exploration.","(1) Are company and regulatory requirements for the monitoring of ARD/ML defined for exploration activities?
(2) Is a baseline monitoring program warranted during exploration?","Asset should comply with corporate/regulatory requirements, and early-stage exploration is an opportunity to collect data for baseline monitoring.",(1) Applicable company/regulatory requirements,A monitoring plan specific to exploration activities is developed.,"(1) Develop and refine ARD/ML management plan → Characterisation
(2) Develop and refine ARD/ML management plan → Prediction","(1) Chapter 8: Monitoring
(2) Chapter 8, Figure 8-2: Steps in the Development of an ARD Monitoring Program
(3) Chapter 8, Table 8-2: Common ARD Monitoring Components
(4) Chapter 8, Table 8-5: Monitoring Activity Guidance",Picture,Picture,Picture,Y
7,Exploration,Develop and refine ARD/ML management plan,"Development and Integration with Mine, Water, Waste, and Closure Plans","There is typically no need to develop a formal ARD/ML management plan during exploration. Should there be a specific need, see develop and refine ARD/ML management → Development and integration with mine, water, waste, and closure plans [Design]. ","See Develop and refine ARD/ML management → Development and integration with mine, water, waste, and closure plans [Design]","See Develop and refine ARD/ML management → Development and integration with mine, water, waste, and closure plans [Design]","See Develop and refine ARD/ML management → Development and integration with mine, water, waste, and closure plans [Design]","See Develop and refine ARD/ML management → Development and integration with mine, water, waste, and closure plans [Design]","See Develop and refine ARD/ML management → Development and integration with mine, water, waste, and closure plans [Design]","(1) Chapter 3: Corporate, Regulatory, and Community Framework
(2) Chapter 9: Acid Rock Drainage Management and Performance Assessment",No figure,No figure,No figure,Y
8,Exploration,Implement ARD/ML Plan,Integration with Mine Planning and Operations,,,,,,,,,,,N
9,Exploration,Monitor and Assess Performance,Transparency in Data Management and Reporting,,,,,,,,,,,N
10,Exploration,Continual Improvement of ARD/ML Practices,Adaptive Management,,,,,,,,,,,N
